"id","code","name","account_type","reconcile","name@zh_CN"
"l10n_cn_account_101201","101201","Bank Suspense Account","asset_current","False",""
"l10n_cn_account_101202","101202","Liquidity Transfer","asset_current","True",""
"l10n_cn_account_122101","122101","Tax Paid","asset_current","False",""
"l10n_cn_account_122102","122102","Tax Receivable","asset_current","False",""
"l10n_cn_account_140201","140201","Stock Interim (Received)","asset_current","False",""
"l10n_cn_account_140202","140202","Stock Interim (Delivered)","asset_current","False",""
"l10n_cn_account_1802","1802","Research and Development (R&D) Costs","asset_non_current","False","开发支出"
"l10n_cn_account_2301","2301","Other Current Liabilities","liability_current","False","其他流动负债"
"l10n_cn_account_3103","3103","Current year profit","equity_unaffected","False","本年利润"
"l10n_cn_account_3104","3104","Profit distribution","equity","False","利润分配"
"l10n_cn_account_4301","4301","R&D Expenditure","expense_direct_cost","False","研发支出"
"l10n_cn_account_4401","4401","Construction Cost","expense_direct_cost","False","工程施工"
"l10n_cn_account_4403","4403","Cost of Repair","expense_direct_cost","False","机械作业"
"l10n_cn_account_5051","5051","Other Operating Income","income","False","其他业务收入"
"l10n_cn_account_5111","5111","Income from Investments","income","False","投资收益"
"l10n_cn_account_530101","530101","Government Subsidies","income_other","False","政府补助"
"l10n_cn_account_530102","530102","Foreign Exchange Gain","income_other","False",""
"l10n_cn_account_530103","530103","Cash Difference Gain","income_other","False",""
"l10n_cn_account_530104","530104","Cash Discount Gain","income_other","False",""
"l10n_cn_account_540301","540301","Consumption Tax","expense","False","消费税"
"l10n_cn_account_540302","540302","Business taxes and surcharges","expense","False","营业税"
"l10n_cn_account_540303","540303","Urban Maintenance and Construction Tax","expense","False","城市维护建设税"
"l10n_cn_account_540304","540304","Resource Tax","expense","False","资源税"
"l10n_cn_account_540305","540305","Land Value Added Tax","expense","False","土地增值税"
"l10n_cn_account_540306","540306","Urban Land Use Tax","expense","False","城镇土地使用税"
"l10n_cn_account_540307","540307","Property Tax","expense","False","房产税"
"l10n_cn_account_540308","540308","Vehicle and Vessel Tax","expense","False","车船税"
"l10n_cn_account_540309","540309","Stamp Duty","expense","False","印花税"
"l10n_cn_account_540310","540310","Education fee surcharge, ,","expense","False","教育费附加"
"l10n_cn_account_540311","540311","mineral resource compensation fee","expense","False","矿产资源补偿费"
"l10n_cn_account_540312","540312","pollution discharge fee","expense","False","排污费"
"l10n_cn_account_5601","5601","Sales Expenses","expense","False","销售费用"
"l10n_cn_account_560101","560101","Product Repair Fee","expense","False","商品维修费"
"l10n_cn_account_560102","560102","Advertising and Promotion Expenses","expense","False","广告费和业务宣传费"
"l10n_cn_account_5602","5602","Administrative Expenses","expense","False","管理费用"
"l10n_cn_account_560201","560201","Start-up Expense","expense","False","开办费"
"l10n_cn_account_560202","560202","Entertainment Expenses","expense","False","业务招待费"
"l10n_cn_account_560203","560203","Research Expense","expense","False","研究费用"
"l10n_cn_account_5603","5603","Financial Expenses","expense","False","财务费用"
"l10n_cn_account_560301","560301","Interest Expenses","expense","False","利息费用"
"l10n_cn_account_560302","560302","Foreign Exchange Loss","expense","False",""
"l10n_cn_account_560303","560303","Cash Difference Loss","expense","False",""
"l10n_cn_account_560304","560304","Cash Discount Loss","expense","False",""
"l10n_cn_account_5711","5711","Non-Operating Expenses","expense","False","营业外支出"
"l10n_cn_account_571101","571101","Bad Debt Expenses","expense","False","坏账损失"
"l10n_cn_account_571102","571102","Unrecoverable Losses on Long-term Bond Investments","expense","False","无法收回的长期债券投资损失"
"l10n_cn_account_571103","571103","Unrecoverable Losses on Long-term Equity Investments","expense","False","无法收回的长期股权投资损失"
"l10n_cn_account_571104","571104","Losses Caused by Force Majeure Factors Such as Natural Disasters","expense","False","自然灾害等不可抗力因素造成的损失"
"l10n_cn_account_571105","571105","Late Tax Payment Expenses","expense","False","税收滞纳金"
"l10n_cn_account_5801","5801","Income Tax Expenses","expense","False","所得税费用"
